TITLE NAME,Pay Year,gender.x,N
Instructional Support Assistant (SL1),2018,female,23
Instructional Support Assistant (SL1),2018,male,36
Instructional Support Assistant (SL1),2019,female,27
Instructional Support Assistant (SL1),2019,male,47
Instructional Support Assistant (SL1),2020,female,478
Instructional Support Assistant (SL1),2020,male,472
Instructional Support Assistant (SL1),2020,NA,4
Instructional Support Assistant (SL1),2021,female,528
Instructional Support Assistant (SL1),2021,male,459
Instructional Support Assistant (SL1),2021,NA,10
Instructional Support Associate (SL2),2018,female,17
Instructional Support Associate (SL2),2018,male,46
Instructional Support Associate (SL2),2019,female,26
Instructional Support Associate (SL2),2019,male,50
Instructional Support Associate (SL2),2020,female,234
Instructional Support Associate (SL2),2020,male,297
Instructional Support Associate (SL2),2020,NA,3
Instructional Support Associate (SL2),2021,female,216
Instructional Support Associate (SL2),2021,male,273
Instructional Support Associate (SL2),2021,NA,2
Instructional Support Specialist (SL4),2018,female,31
Instructional Support Specialist (SL4),2018,male,30
Instructional Support Specialist (SL4),2018,NA,3
Instructional Support Specialist (SL4),2019,female,32
Instructional Support Specialist (SL4),2019,male,35
Instructional Support Specialist (SL4),2019,NA,3
Instructional Support Specialist (SL4),2020,female,145
Instructional Support Specialist (SL4),2020,male,232
Instructional Support Specialist (SL4),2020,NA,3
Instructional Support Specialist (SL4),2021,female,160
Instructional Support Specialist (SL4),2021,male,231
Instructional Support Specialist (SL4),2021,NA,2
Instructional Support Technician (SL3),2018,female,32
Instructional Support Technician (SL3),2018,male,45
Instructional Support Technician (SL3),2019,female,35
Instructional Support Technician (SL3),2019,male,43
Instructional Support Technician (SL3),2020,female,258
Instructional Support Technician (SL3),2020,male,376
Instructional Support Technician (SL3),2020,NA,4
Instructional Support Technician (SL3),2021,female,240
Instructional Support Technician (SL3),2021,male,346
Instructional Support Technician (SL3),2021,NA,4
University Instructional Specialist (SL5),2018,female,6
University Instructional Specialist (SL5),2018,male,23
University Instructional Specialist (SL5),2018,NA,1
University Instructional Specialist (SL5),2019,female,7
University Instructional Specialist (SL5),2019,male,23
University Instructional Specialist (SL5),2019,NA,1
University Instructional Specialist (SL5),2020,female,9
University Instructional Specialist (SL5),2020,male,35
University Instructional Specialist (SL5),2020,NA,1
University Instructional Specialist (SL5),2021,female,13
University Instructional Specialist (SL5),2021,male,43
University Instructional Specialist (SL5),2021,NA,2
